run,sample,sample_in_trigger_record,time_in_1ms_period_us,s11_mag_db,s11_phase_unwrapped_deg,master_power,slave_power,state,block_index,pulse_number_in_second,temp_C
DMEM1_96 · 12:13:47,DMEM1_96,37,37.0,-6.490383193244838,-54.28791685573236,19.942613005112385,4.474492065979314,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,38,38.0,-6.49153526418301,-54.28008718302752,19.931838631751397,4.470888468722112,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,39,39.0,-6.4913671617379896,-54.28098195762778,19.9509083637858,4.475339202706925,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,40,40.0,-6.492452729753351,-54.27446317862836,19.902968525402965,4.46346962084865,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,41,41.0,-6.494290051150115,-54.26794145248686,19.961108883280964,4.474614838792283,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,42,42.0,-6.494794350552851,-54.26852766363761,19.85587592129562,4.450508299005898,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,43,43.0,-6.495823878475288,-54.26447215762635,19.97692250224611,4.476578421888915,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,44,44.0,-6.495452724072081,-54.25723309804519,19.818312521896942,4.441415463129404,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,45,45.0,-6.496367041788266,-54.26731223834358,19.958804926481825,4.471959165957904,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,46,46.0,-6.495238325522978,-54.26812379410877,19.830511050251975,4.44436863448468,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,47,47.0,-6.498119115812737,-54.268017929570775,19.856097955333325,4.447152220528402,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,48,48.0,-6.498539142936921,-54.27888745136542,12.619025213714528,2.825998284068693,Treatment,29665,664,36.826722325176476
DMEM1_96 · 12:13:47,DMEM1_96,49,49.0,-6.500834809899284,-54.28219237639927,7.146146265221981,1.5995153785951652,Treatment,29665,664,36.826722325176476
DMEM2_96 · 12:41:40,DMEM2_96,3,3.0,-6.525360497985147,-55.23885598518597,7.35158718573514,1.6362326794044195,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,4,4.0,-6.526814928188434,-55.23910979665351,13.19283766974758,2.93532859879516,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,5,5.0,-6.526265835316539,-55.24167424962514,20.62076672860813,4.588579133143936,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,6,6.0,-6.52675118581474,-55.24956019322828,20.970722142809237,4.66593051937397,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,7,7.0,-6.527688014274621,-55.25360672315952,20.732403888634224,4.611910379584903,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,8,8.0,-6.529204427406806,-55.25252081172575,20.822963958292934,4.630438332197268,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,9,9.0,-6.528606892926769,-55.257747842176336,20.78780446361709,4.623255912852363,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,10,10.0,-6.529915888970655,-55.2534904887919,20.756732449553425,4.614954233516095,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,11,11.0,-6.530738024749413,-55.261484802485946,20.79015494052003,4.621510280825566,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,12,12.0,-6.530453648917696,-55.27258972215797,20.72773087627636,4.607935552730218,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,13,13.0,-6.530673350333192,-55.27485219874164,20.7771926897392,4.6186976408585085,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,14,14.0,-6.531511447803916,-55.27864906148916,20.718945592534524,4.604860786298432,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,15,15.0,-6.53232562249248,-55.28808242072462,20.75275803630265,4.611511120503103,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,16,16.0,-6.53342085756276,-55.28685997973284,20.723203536487283,4.603782595629471,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,17,17.0,-6.534981463698789,-55.27645050489826,20.74152865978601,4.606198128717705,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,18,18.0,-6.535319873501978,-55.27261911095438,20.723564114585933,4.601850034172125,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,19,19.0,-6.536560280687583,-55.25838980498975,20.71935135632829,4.599600654686689,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,20,20.0,-6.537005633394578,-55.24870151319304,20.724999281709547,4.600382691946069,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,21,21.0,-6.537271340516282,-55.24597912476296,20.706869020266204,4.596077067357779,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,22,22.0,-6.538336556267925,-55.24232476827441,20.704624293406543,4.59445178757352,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,23,23.0,-6.538924076537138,-55.24434464917254,20.70417149454416,4.593729820526183,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,24,24.0,-6.5396507989168455,-55.251344783476775,20.695692515256265,4.591080242211246,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,25,25.0,-6.541042373473255,-55.251350558656256,20.68659354499881,4.587591549340936,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,26,26.0,-6.5416574439577255,-55.2476037828425,20.685741014925256,4.586752840959092,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,27,27.0,-6.542174268919889,-55.24840685491691,20.670948722953487,4.582927455906652,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,28,28.0,-6.543055209568505,-55.24489277824388,20.66185917315394,4.579983107698307,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,29,29.0,-6.54297547259481,-55.242007775160246,20.658401423764985,4.579300726073946,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,30,30.0,-6.54353084359546,-55.24261146931165,20.6529715572768,4.57751169536979,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,31,31.0,-6.54349655091805,-55.23578128084635,20.64529436585005,4.5758462590314775,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,32,32.0,-6.542452236730116,-55.22763459213401,20.646087028709964,4.577122438460424,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,33,33.0,-6.543412578397638,-55.22724313326617,20.623213392983025,4.571040589361052,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,34,34.0,-6.544927735579966,-55.22827496012568,20.63516047054238,4.572093224004005,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,35,35.0,-6.544464415909863,-55.21835398076921,20.612015697098517,4.567452325490937,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,36,36.0,-6.545004191297439,-55.21956109599611,20.62262838241996,4.56923607290712,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,37,37.0,-6.5473345094932665,-55.22291710483304,20.61063710760297,4.564129578051868,Treatment,26622,622,36.69010298912306
DMEM2_96 · 12:41:40,DMEM2_96,38,38.0,-6.547861475894631,-55.22214180248022,20.608956099296467,4.563203600728379,Treatment,26622,622,36.69010298912306
